,Word1,Word2,Pos,"Sim1 [0,6]","Sim2 [0,10]","Sim3 [0, 1]","Sim Computed [0, 1]",STD
36,họp_mặt,tiệc,N,3.93,6.55,0.655,0.7138201028107132,0.85
37,lộn_xộn,gọn_gàng,A,0.4,0.67,0.067,0.6717686073142879,0.61
38,chủ_động,thụ_động,V,0.53,0.88,0.088,0.7388768020216623,0.88
39,vali,tay_cầm,N,1.47,2.45,0.24500000000000002,0.582991276995551,0.88
40,ghen_tị,ghen_ghét,V,4.6,7.67,0.767,0.675940010814073,1.14
41,ngôn_ngữ_học,khoa_học,N,3.67,6.12,0.612,0.7686254254730083,1.4
42,thu_gom,tiếp_sức,V,0.73,1.22,0.122,0.5850909283556378,0.77
43,quy_trình,sáng_tác,N,3.2,5.33,0.533,0.45216082765436927,0.83
44,thành_thị,thị_thành,N,5.93,9.88,0.9880000000000001,0.7029056426160767,0.25
45,nhảy_nhót,nhích,V,3.6,6.0,0.6,0.5885036192945102,1.14
46,ly_tâm,hướng_tâm,V,0.73,1.22,0.122,0.5464764377853931,0.85
47,cống,đường_ống,N,4.4,7.33,0.733,0.828089976964878,1.08
48,còm,nhỏ_nhoi,A,3.8,6.33,0.633,0.5795739681763229,1.22
49,bánh_răng,răng,N,1.87,3.12,0.312,0.6286999312916468,0.81
50,nao_núng,kiên_định,V,0.27,0.45,0.045,0.6259092192927334,0.57
51,bằng_hữu,bầu_bạn,N,4.27,7.12,0.712,0.6569364444317798,1.24
52,thân,lưng,N,2.13,3.55,0.355,0.6539656634967106,0.88
53,bút_chì,lô,N,0.0,0.0,0.0,0.570751730694288,0.0
54,cổng,ổ_khoá,N,2.27,3.78,0.378,0.6768388517546029,0.77
55,dị_bản,đĩa_bay,N,0.47,0.78,0.078,0.5831500412527499,0.88
56,truy_cập,thâm_nhập,V,4.27,7.12,0.712,0.7451428077224743,0.77
57,âm,nguy_hiểm,N,0.33,0.55,0.05500000000000001,0.5451210966508393,0.6
58,thăng_trầm,khô_kiệt,A,0.33,0.55,0.05500000000000001,0.49502240383824114,0.7
59,thay_thế,biến_đổi,N,4.13,6.88,0.688,0.591528891873673,1.02
60,ban_công,lan_can,N,2.33,3.88,0.388,0.7750668964355856,0.79
61,dưới,trên,N,0.4,0.67,0.067,0.6050493851058338,0.71
62,kháng_cự,phản_đối,V,4.0,6.67,0.667,0.5272132441453061,0.97
63,vế,vai_vế,N,4.27,7.12,0.712,0.5972958743360081,0.85
64,vắng_lặng,ồn_ào,A,0.33,0.55,0.05500000000000001,0.7765409694234066,0.7
65,xót_thương,đau_lòng,V,5.27,8.78,0.8779999999999999,0.7698108176352587,0.77
66,găng_tay,quần_áo,N,3.13,5.22,0.522,0.7223887250559494,0.88
67,sinh_vật_cảnh,đồng_dao,N,0.07,0.12,0.012,0.5912643477287776,0.25
68,lặn,mọc,V,0.33,0.55,0.05500000000000001,0.5942163643208151,0.7
69,bồ_bịch,nhân_tình,N,5.27,8.78,0.8779999999999999,0.7152837886617387,0.85
70,bằng_chứng,chứng_cứ,N,3.33,5.55,0.5549999999999999,0.8641739786472045,0.7
71,hạ_màn,mở_màn,V,0.33,0.55,0.05500000000000001,0.7406414832456725,0.7
72,ca_tụng,đoàn_kết,V,2.67,4.45,0.445,0.5308268756738199,0.7
73,ngày,đêm,N,0.33,0.55,0.05500000000000001,0.750914632763455,0.7
74,lan_can,rào,N,2.8,4.67,0.46699999999999997,0.7485974643944324,0.75
75,trở_lại,đảo_ngược,V,3.0,5.0,0.5,0.6320276230170812,0.73
76,nhạc_nhẹ,tiểu_học,N,0.0,0.0,0.0,0.49588229038863263,0.0
77,tự_do,đức_tính,N,1.0,1.67,0.16699999999999998,0.500803507287731,1.03
78,hợp_nhất,liên_kết,N,3.53,5.88,0.588,0.6690868753021364,1.09
79,hoàng_tộc,hoàng_gia,N,5.0,8.33,0.833,0.7167318027706264,0.82
80,đầu_mối,chỗ,N,3.07,5.12,0.512,0.582175675699223,1.06
81,tinh_luyện,hoá_lỏng,V,2.93,4.88,0.488,0.6744553546112771,0.68
82,bí_hiểm,bí_mật,N,4.4,7.33,0.733,0.643822394484477,1.02
83,chung_tình,phụ_bạc,V,0.33,0.55,0.05500000000000001,0.6996474863915767,0.6
84,bàn_cãi,cân_nhắc,V,3.93,6.55,0.655,0.6385343337293912,1.12
85,nhảy_cao,ném_đĩa,N,3.2,5.33,0.533,0.7363980230720975,0.75
86,tiếng_chuông,âm_thanh,N,2.87,4.78,0.47800000000000004,0.6903495462659109,0.72
87,tha_thẩn,thơ_thẩn,A,4.87,8.12,0.8119999999999999,0.8260280869978451,0.88
88,thuyền,bánh_lái,N,2.33,3.88,0.388,0.6978762102994511,0.87
89,nấp,hiện,V,0.2,0.33,0.033,0.5185146537371971,0.4
90,cất,giấu,V,4.87,8.12,0.8119999999999999,0.712796853188442,1.15
91,âm,gốc,N,1.47,2.45,0.24500000000000002,0.6501291237986349,1.02
92,đặt,thả_lỏng,V,2.07,3.45,0.34500000000000003,0.5589440934205681,1.12
93,chỉnh_hình,tiểu_học,N,0.13,0.22,0.022,0.5596513693494014,0.34
94,tẩy,cạn,V,2.07,3.45,0.34500000000000003,0.5709195886128112,1.0
95,cây_trồng,đĩa_bay,N,0.07,0.12,0.012,0.5500069458624562,0.25
96,chỉnh_hình,luồng,N,0.53,0.88,0.088,0.4132957189229851,1.02
97,màng_tế_bào,bảng_tổng_sắp,N,0.13,0.22,0.022,0.49016781707162205,0.34
98,ngót_nghét,xấp_xỉ,A,5.33,8.88,0.8880000000000001,0.7165425458202124,0.6
99,biến_động,cố_định,V,0.27,0.45,0.045,0.6194482792163153,0.57
100,khuyết_điểm,ưu_điểm,N,0.27,0.45,0.045,0.6962370790987789,0.57
101,nhạo_báng,khiếm_nhã,N,4.47,7.45,0.745,0.7395952198460836,1.02
102,hại,lợi,N,0.13,0.22,0.022,0.6155013404108874,0.34
103,bướu_cổ,bệnh_tật,N,3.07,5.12,0.512,0.6974991644939064,1.06
104,cây_thuốc,cây_hoa_màu,N,3.27,5.45,0.545,0.6824789925138395,1.24
105,tinh_lọc,tinh_chế,V,4.93,8.22,0.8220000000000001,0.7635075409777491,0.85
106,bức_bối,nguỵ_trang,V,0.6,1.0,0.1,0.4771571962159419,0.95
107,thân_thể,đầu,N,2.53,4.22,0.422,0.47527983543423,0.88
108,quỷ_quyệt,xảo_quyệt,A,4.87,8.12,0.8119999999999999,0.8174033762157971,0.72
109,hoang_phí,hà_tiện,V,0.33,0.55,0.05500000000000001,0.7518217854654328,0.6
110,cóp_nhặt,để_dành,V,4.4,7.33,0.733,0.5750119228992959,1.08
111,may,rủi,N,0.33,0.55,0.05500000000000001,0.5376132976827355,0.7
112,tum,chân_vịt,N,0.47,0.78,0.078,0.5908274517329895,0.62
113,nhạo,vèo,V,0.8,1.33,0.133,0.5772584142942425,1.33
114,ngoại_lệ,thường_lệ,N,0.67,1.12,0.11200000000000002,0.48141612756433083,0.87
115,phong_độ,phong_thái,N,4.27,7.12,0.712,0.6850632648502791,1.0
116,biết_ơn,vô_ơn,V,0.2,0.33,0.033,0.6430055002537591,0.54
117,buồn_bã,nối_tiếp,V,1.67,2.78,0.27799999999999997,0.5499543565077555,0.7
118,quay,chuyển_hướng,N,4.4,7.33,0.733,0.6480990749764045,1.2
119,tập_dượt,tập_luyện,V,4.87,8.12,0.8119999999999999,0.717157251367858,0.96
120,oxy_hoá,đổi_thay,V,3.27,5.45,0.545,0.5599320531370722,1.12
121,trà,bụi,N,1.07,1.78,0.178,0.6111132991522482,1.24
122,phỏng,mảnh,A,0.87,1.45,0.145,0.5408820514671399,0.88
123,phòng_ngủ,công_trình_phụ,N,2.8,4.67,0.46699999999999997,0.6407693738401214,0.54
124,hình_hoạ,cung_bậc,N,0.53,0.88,0.088,0.5840128126455744,0.96
125,hoạ,phúc,N,0.53,0.88,0.088,0.5584990426399047,0.88
126,nửa_mùa,đồng_điệu,A,1.07,1.78,0.178,0.4940854744263826,1.18
127,thịnh_hành,hữu_tình,A,0.53,0.88,0.088,0.5388660144018619,0.96
128,lời_lãi,thua_lỗ,N,0.4,0.67,0.067,0.6332538847183644,0.71
129,con_đường,vỉa_hè,N,2.53,4.22,0.422,0.6558703028933357,0.88
130,chính_nghĩa,phi_nghĩa,N,0.47,0.78,0.078,0.7785246916779516,0.88
131,trần_gian,cõi_âm,N,0.73,1.22,0.122,0.6731220491705197,0.77
132,vượng,suy,V,0.53,0.88,0.088,0.5040187634839259,1.02
133,ấp_úng,nói,V,2.33,3.88,0.388,0.6052571546248823,0.87
134,thất_bại,thành_công,N,0.53,0.88,0.088,0.7332283828526465,1.26
135,ái_mộ,hâm_mộ,V,5.07,8.45,0.845,0.7345824179806664,0.68
136,nỗi_đau,tai_hoạ,N,3.2,5.33,0.533,0.7451520783887262,1.05
137,định_kỳ,bất_thường,N,0.73,1.22,0.122,0.5719317615502106,1.06
138,trước,sau,N,0.33,0.55,0.05500000000000001,0.7883022496624592,0.47
139,đánh_bóng,làm_đẹp,V,4.2,7.0,0.7,0.6910717587452182,1.22
140,đoán,quan_sát,V,3.93,6.55,0.655,0.6601640103827411,0.68
141,đồ_dùng,đồ_vật,N,2.33,3.88,0.388,0.7874746135845777,0.94
142,giải_tán,tập_hợp,V,0.67,1.12,0.11200000000000002,0.5969483478219859,1.07
143,nhóm,liên_kết,V,0.33,0.55,0.05500000000000001,0.6208239769854182,0.79
144,đầu_tiên,cuối_cùng,N,0.47,0.78,0.078,0.7553313899158938,0.72
145,quyển,bìa,N,2.0,3.33,0.333,0.6047015654096942,0.82
146,vượt_tuyến,hằn_học,V,0.4,0.67,0.067,0.4851448147492986,0.61
147,chiến_bại,thắng_lợi,V,1.07,1.78,0.178,0.641850802480743,1.06
148,đỡ_đần,bình_luận,V,0.53,0.88,0.088,0.5085076321323673,0.88
149,hạ,tăng,V,0.67,1.12,0.11200000000000002,0.6799347296263522,0.94
150,bội_bạc,chung_thuỷ,A,0.47,0.78,0.078,0.6698942604864669,0.62
151,nhà_máy,dây_chuyền,N,2.53,4.22,0.422,0.6797311758139666,0.72
152,tàu_hoả,xe_điện_ngầm,N,3.93,6.55,0.655,0.7109552533189001,1.12
153,thuở,thủa,N,5.87,9.78,0.978,0.9307344482581148,0.34
154,tranh,trông_nom,V,1.93,3.22,0.322,0.4833184827765761,0.77
155,xuôi,ngược,N,0.33,0.55,0.05500000000000001,0.6573985057240239,0.6
156,biên_nhận,móc,V,0.4,0.67,0.067,0.5019064322537388,0.88
157,thi_hành,bắt,V,3.4,5.67,0.567,0.5293790961144831,1.14
158,cự_tuyệt,bãi_bỏ,V,3.67,6.12,0.612,0.6984195958596855,1.14
159,hiện_trạng,tình_cảnh,N,4.4,7.33,0.733,0.5983631113565651,1.31
160,vượt_tuyến,dứt_điểm,V,1.0,1.67,0.16699999999999998,0.6296657788653924,0.89
161,bằng,văn_bằng,N,4.6,7.67,0.767,0.5276926693998182,0.49
162,tĩnh_dưỡng,lộn_xộn,V,1.73,2.88,0.288,0.48935251385270395,0.85
163,nhốt,thả,V,0.53,0.88,0.088,0.6991426271515944,1.09
164,nội_tiết,huyệt,N,1.07,1.78,0.178,0.5945142072264977,0.77
165,phụ_bản,truyện_tranh,N,1.93,3.22,0.322,0.6737146612849847,1.29
166,phong_thư,địa_chỉ,N,2.93,4.88,0.488,0.6248745145604353,0.68
167,thời_bình,thời_chiến,N,0.73,1.22,0.122,0.8044599216590791,0.77
168,áo_quan,quan_tài,N,3.93,6.55,0.655,0.8377913183397813,0.85
169,trẩy_hội,ví,V,0.27,0.45,0.045,0.5265702774063056,0.57
170,cũ_kỹ,mới_mẻ,A,0.33,0.55,0.05500000000000001,0.6616454677401924,0.6
171,sân_vận_động,khán_đài,N,2.33,3.88,0.388,0.7853498230825116,0.7
172,được,mất,V,0.4,0.67,0.067,0.49744811796732014,0.49
173,hiểu,tiên_lượng,V,2.47,4.12,0.41200000000000003,0.6263135115736893,1.31
174,quét_dọn,loại_bỏ,V,3.73,6.22,0.622,0.522712811267851,0.85
175,bay_hơi,bay,V,3.47,5.78,0.5780000000000001,0.5742654793902675,0.72
176,dễ_dàng,khó_khăn,A,0.67,1.12,0.11200000000000002,0.7134396826441126,1.25
177,gạ,gạ_gẫm,V,5.33,8.88,0.8880000000000001,0.8350325220690074,0.6
178,nhậm_chức,nhiệm_chức,V,4.67,7.78,0.778,0.6570816631541786,1.07
179,hổ_thẹn,bắt_buộc,V,0.6,1.0,0.1,0.6441182719996252,0.88
180,dấu_hiệu,đặc_trưng,N,3.2,5.33,0.533,0.5623749618230061,0.75
181,người_dân,tộc_người,N,3.87,6.45,0.645,0.6726192183477403,1.09
182,bật_lửa,giảm_xóc,N,2.6,4.33,0.433,0.5883955184344968,1.14
183,sinh_vật_cảnh,không_trung,N,0.6,1.0,0.1,0.5355307689700415,0.8
184,chần_chờ,dứt_khoát,V,0.4,0.67,0.067,0.4592459698502316,0.8
185,tư_thế,phong_thái,N,5.0,8.33,0.833,0.6678334836705015,0.63
186,máy_vi_tính,phím,N,2.8,4.67,0.46699999999999997,0.6166006146035276,0.65
187,sụp_đổ,kìm_nén,V,2.2,3.67,0.367,0.6106877593994314,1.05
188,mắc_kẹt,cầm_giữ,V,5.33,8.88,0.8880000000000001,0.7373173998285257,0.87
189,hình_hoạ,khí_quyển,N,0.27,0.45,0.045,0.5466465455510212,0.57
190,thuộc_địa,kiều_dân,N,3.93,6.55,0.655,0.660194594648485,1.24
191,nhà_hát,sân_khấu,N,2.6,4.33,0.433,0.7203241801216371,1.02
192,thìa,muỗng,N,4.67,7.78,0.778,0.921148872660621,0.87
193,tỏ,biểu_lộ,V,4.8,8.0,0.8,0.7487874065978005,1.11
194,chiến_tranh,trận_chiến,N,2.73,4.55,0.45499999999999996,0.7057790524081652,0.68
195,cộc,va,V,5.0,8.33,0.833,0.5170128837171619,0.89
196,tính_sổ,giám_đốc_thẩm,V,1.27,2.12,0.21200000000000002,0.5154892396232365,1.12
197,hơn,thua,A,0.8,1.33,0.133,0.5430260995047844,1.22
198,cựu_binh,tân_binh,N,0.67,1.12,0.11200000000000002,0.7279070571743371,0.79
199,tính_sổ,nuôi_dưỡng,V,0.6,1.0,0.1,0.5371927617629744,0.95
200,hâm_nóng,cải_biến,V,3.2,5.33,0.533,0.6954869310011413,1.22
201,bón,tẩm,V,0.93,1.55,0.155,0.6134359720072813,0.85
202,thảm,thê_thảm,A,5.73,9.55,0.9550000000000001,0.6091215376207062,0.44
203,lắp_đặt,nhồi_nhét,V,3.53,5.88,0.588,0.5445676113240661,0.88
204,tạo_hoá,tạo_vật,N,2.6,4.33,0.433,0.6495126005321804,1.25
205,hen,cúm,N,3.87,6.45,0.645,0.669654539233951,1.2
206,mệt_mỏi,mỏi_mệt,A,5.73,9.55,0.9550000000000001,0.8870771996402878,0.77
207,tắc_nghẽn,thông_suốt,V,0.4,0.67,0.067,0.6822985945668885,0.61
208,trọng,coi_trọng,V,5.6,9.33,0.933,0.6912157492162195,0.61
209,đẽo,bắt,V,0.73,1.22,0.122,0.5324964260075125,0.93
210,hú,ca,V,3.87,6.45,0.645,0.5732125171509986,0.96
211,danh_sách,mục,N,3.13,5.22,0.522,0.6259514896636085,0.81
212,chuyển_nhượng,phát_mại,V,3.13,5.22,0.522,0.5912885173410596,0.96
213,vòng_tay,trang_sức,N,4.13,6.88,0.688,0.5560130481002722,1.15
214,đổ_bê_tông,chăm_sóc,V,1.13,1.88,0.188,0.5279895281541804,1.2
215,kín,phát,V,0.8,1.33,0.133,0.5091691103220353,0.91
216,người_tình,chiến_sĩ,N,2.87,4.78,0.47800000000000004,0.5531286734426175,0.88
217,cuối,đầu,N,0.53,0.88,0.088,0.8211977155429271,0.72
218,cần_tây,đậu_bắp,N,2.93,4.88,0.488,0.7751268602647332,0.77
219,định_kì,bất_thường,N,0.67,1.12,0.11200000000000002,0.5792812834271651,1.14
220,thiện_chí,ác_ý,N,0.6,1.0,0.1,0.6523734507101486,0.88
221,biên_cương,biên_giới,N,5.33,8.88,0.8880000000000001,0.677815621595404,0.6
222,sông,cửa_sông,N,2.67,4.45,0.445,0.8204295789684444,1.14
223,tím,bẹp,A,0.73,1.22,0.122,0.5540636208292617,1.06
224,năm_âm_lịch,tháng_âm_lịch,N,2.4,4.0,0.4,0.7859646065031477,0.88
225,đỡ_đần,suy_xét,V,0.73,1.22,0.122,0.5773448252245392,1.06
226,bầm,mệ,N,5.6,9.33,0.933,0.5207259684270478,0.61
227,dáng,tản_bộ,N,3.73,6.22,0.622,0.5504584741041598,0.93
228,sinh_vật,tế_bào,N,2.8,4.67,0.46699999999999997,0.7493591139708493,0.75
229,nhau,rau,N,4.73,7.88,0.788,0.5581535567532804,0.68
230,đồng_tình,phản_đối,A,0.67,1.12,0.11200000000000002,0.6453196744386626,0.94
231,thanh,dụng_cụ,N,3.07,5.12,0.512,0.5740983254360474,0.68
232,điệu,háo,A,1.0,1.67,0.16699999999999998,0.5540117289294996,1.21
233,tử_trận,tiếp_sức,V,0.4,0.67,0.067,0.541538299719561,0.71
234,trù_dập,trù_úm,V,5.4,9.0,0.9,0.7981879566600114,0.71
235,tứ_kết,trận_đấu,N,3.47,5.78,0.5780000000000001,0.7003473030497622,1.02
236,tình_ca,ca_khúc,N,3.67,6.12,0.612,0.7415919041948759,1.25
237,báo_ân,trả_thù,V,1.07,1.78,0.178,0.5434649142731699,1.18
238,vững_tâm,vững_lòng,A,5.53,9.22,0.922,0.7077083692809842,0.72
239,cũ_rích,mới_mẻ,A,0.67,1.12,0.11200000000000002,0.5967276037497126,0.79
240,lành,kẹt,A,0.27,0.45,0.045,0.5140263533793008,0.44
241,tù,ngục,N,5.53,9.22,0.922,0.6537773338225499,0.88
242,dày_cộp,mỏng_tang,A,0.47,0.78,0.078,0.6587207841315993,0.72
243,cây_trồng,thầy_thuốc_nhân_dân,N,0.87,1.45,0.145,0.5457075166823798,0.96
244,điều_hành,lục_lọi,N,2.47,4.12,0.41200000000000003,0.5062955235718778,0.72
245,tự_do,phần_cứng,N,0.47,0.78,0.078,0.5017809479068229,0.62
246,thu_ngân,dân_cư,N,2.47,4.12,0.41200000000000003,0.5504545471691635,1.2
247,cắt,tẩm,V,0.27,0.45,0.045,0.552521334115863,0.57
248,nghị_quyết,tài_liệu,N,3.47,5.78,0.5780000000000001,0.5828574709782275,0.81
249,ăn_nhậu,nhậu_nhẹt,V,4.47,7.45,0.745,0.8641606607054153,0.62
250,gắn_kết,liên_kết,V,5.47,9.12,0.9119999999999999,0.8438466365147195,0.88
251,máy_tính,bộ_vi_xử_lý,N,2.67,4.45,0.445,0.7538728012281697,0.79
252,cải_thiện,thuần_hoá,V,2.2,3.67,0.367,0.6070417514320332,0.83
253,năng_lực,tột_độ,N,1.73,2.88,0.288,0.49320523761692026,0.68
254,an_dưỡng,tĩnh_dưỡng,V,5.13,8.55,0.8550000000000001,0.7730823124063078,1.09
255,di_chuyển,dời,N,5.27,8.78,0.8779999999999999,0.6695968276071774,0.68
256,ngoài,trong,N,0.6,1.0,0.1,0.5606081642603608,0.71
257,cặp,đôi,N,5.73,9.55,0.9550000000000001,0.6875969863320895,0.57
258,cẳng,bắp_chân,N,2.8,4.67,0.46699999999999997,0.6519856910702435,0.65
259,chiến_tranh,hoà_bình,N,0.47,0.78,0.078,0.6729102348577151,0.62
260,đau_đớn,làm_phiền,V,5.2,8.67,0.867,0.5347029059493522,0.83
261,gia_tăng,lạm_phát,V,2.67,4.45,0.445,0.5993148681622202,1.07
262,thói,thái_độ,N,2.6,4.33,0.433,0.7188758334002314,1.25
263,mô_hình,cấu_trúc,N,4.07,6.78,0.678,0.7106503270058,0.85
264,mạo_danh,lừa_đảo,V,4.47,7.45,0.745,0.8037980054182349,1.09
265,sếp,lãnh_đạo,N,4.27,7.12,0.712,0.6624487838117136,0.77
266,thẻ,kỉ_vật,N,2.6,4.33,0.433,0.5556097034595493,0.95
267,hỏi,đáp,V,0.67,1.12,0.11200000000000002,0.7018791683209515,0.87
268,tản_bộ,di_chuyển,V,3.47,5.78,0.5780000000000001,0.6947218896748377,0.96
269,chuệch_choạc,chệch_choạc,A,5.53,9.22,0.922,0.8866840046285343,0.5
270,giải_thích,ngấm,V,0.47,0.78,0.078,0.5471853745530288,0.72
271,mách,mách_nước,V,4.2,7.0,0.7,0.7652854223637346,0.91
272,nước_lớn,xuất_xứ,N,1.0,1.67,0.16699999999999998,0.5417443463646772,1.21
273,số_hoá,hoá_lỏng,V,1.6,2.67,0.267,0.5692767839511129,0.61
274,cắt_giảm,trừ_khử,V,0.53,0.88,0.088,0.5796676038028619,0.96
275,nhạc_nhẹ,cung_bậc,N,1.4,2.33,0.233,0.5758634208719937,1.2
276,túm_tụm,quần_tụ,V,5.0,8.33,0.833,0.6698344153474204,0.82
277,thị_giác,võng_mạc,N,2.87,4.78,0.47800000000000004,0.7254652242542223,0.72
278,người_làm,dân_chơi,N,2.13,3.55,0.355,0.5775435581351376,1.09
279,phân_chia,phân_bổ,N,5.07,8.45,0.845,0.7642334641358416,0.77
280,xâm_nhập,xuyên,V,4.2,7.0,0.7,0.5996018837019732,0.98
281,thuộc_hạ,người_lớn,N,1.93,3.22,0.322,0.6002317539160016,0.93
282,dịch_chuyển,tham_gia,V,1.33,2.22,0.22200000000000003,0.5156238867325775,0.79
283,bơi,ngụp,V,3.47,5.78,0.5780000000000001,0.7202877661802993,1.36
284,cư_dân,người_dân,N,5.67,9.45,0.945,0.7917289515659934,0.6
285,khoan_thai,ung_dung,A,5.27,8.78,0.8779999999999999,0.6575190225492119,0.85
286,xe_tải,nóc,N,1.53,2.55,0.255,0.5655120396052042,1.02
287,mùa_đông,đông_chí,N,2.67,4.45,0.445,0.6695742838895138,0.7
288,lạc_hậu,tiên_tiến,A,0.53,0.88,0.088,0.6497132112310879,0.62
289,chọc_ghẹo,biếu_xén,V,0.67,1.12,0.11200000000000002,0.6252380452745603,0.94
290,nền,cận_cảnh,N,1.8,3.0,0.3,0.44145389579350847,0.75
291,sư_tử,lăng_kính,N,0.8,1.33,0.133,0.5039951302298488,1.17
292,nguyên_nhân,nguyên_do,N,5.93,9.88,0.9880000000000001,0.9089946133796689,0.25
293,dữ,hiền,A,0.8,1.33,0.133,0.5752135481706673,1.28
294,phần_phụ,bộ_phận,N,4.07,6.78,0.678,0.5995717206139181,0.85
295,anh_dũng,dũng_mãnh,A,5.13,8.55,0.8550000000000001,0.574038627716287,0.72
296,buôn_bán,vận_tải,N,2.4,4.0,0.4,0.5950087854760262,0.8
297,đâm_sầm,phóng,V,3.4,5.67,0.567,0.6622289217709543,1.31
298,bò,đi,V,2.6,4.33,0.433,0.4995944529348151,1.02
299,nội_tiết,luồng,N,1.07,1.78,0.178,0.5026366684356863,1.06
300,dị_ứng,lương_tri,N,0.33,0.55,0.05500000000000001,0.49419309873892514,0.6
301,vặn,vặn_vẹo,V,4.13,6.88,0.688,0.6664830396167407,1.15
302,lùng_bùng,vắng_ngắt,A,1.6,2.67,0.267,0.5899750909431476,1.14
303,chê,khen,V,0.13,0.22,0.022,0.6290572946445834,0.34
304,tượng_đài,bảng_tổng_sắp,N,0.8,1.33,0.133,0.5318125083604872,1.05
305,người_yêu,tình_nhân,N,3.0,5.0,0.5,0.7037027931718403,1.1
306,thiện_cảm,ác_cảm,N,0.53,0.88,0.088,0.7954840359538217,0.72
307,trau_chuốt,phát_triển,V,2.07,3.45,0.34500000000000003,0.5667674920194776,0.93
308,gươm,lưỡi,N,1.4,2.33,0.233,0.6260901627510149,1.02
309,bánh_xe,vành,N,2.6,4.33,0.433,0.7310774227760063,0.95
310,tượng_đài,phân_bón,N,0.07,0.12,0.012,0.45695947587347363,0.25
311,nạc,búi,A,0.6,1.0,0.1,0.5717964954921744,0.8
312,khung_thành,cầu_môn,N,5.4,9.0,0.9,0.9528645153431913,1.25
313,kĩ,sơ_sài,A,0.2,0.33,0.033,0.6788048244796887,0.4
314,buồn,vui,A,0.2,0.33,0.033,0.8162532736190742,0.54
315,nhược_điểm,ưu_điểm,N,0.33,0.55,0.05500000000000001,0.8485220102762052,0.79
316,quan_hệ,trạng_thái,N,2.73,4.55,0.45499999999999996,0.5896095006657855,0.68
317,đong_đưa,vung_vẩy,V,3.93,6.55,0.655,0.6862518755922244,1.24
318,bừa_bãi,gọn_ghẽ,A,0.27,0.45,0.045,0.5821432022315078,0.44
319,nhà_thơ,thi_nhân,N,4.87,8.12,0.8119999999999999,0.8270994230579227,0.81
