,word1,word2,pos,sim,sim1,sim2,cosin,pearsonr,spearmanr,std
59,thân,lưng,N,0.35,2.13,3.55,0.65,"[0.31, 0.0]","[0.31, 0.0]",0.88
60,bút_chì,lô,N,0.0,0.0,0.0,0.57,"[0.14, 0.09]","[0.12, 0.14]",0.0
61,cổng,ổ_khoá,N,0.38,2.27,3.78,0.68,"[0.35, 0.0]","[0.36, 0.0]",0.77
62,dị_bản,đĩa_bay,N,0.08,0.47,0.78,0.58,"[0.16, 0.05]","[0.12, 0.15]",0.88
63,nguây_nguẩy,ngúng_nguẩy,V,0.81,4.87,8.12,NaN,NaN,NaN,1.2
64,biên_nhận,ứng_chiến,V,0.1,0.6,1.0,NaN,NaN,NaN,0.8
65,truy_cập,thâm_nhập,V,0.71,4.27,7.12,0.75,"[0.5, 0.0]","[0.51, 0.0]",0.77
66,chỉ_định,hạ_bút,V,0.05,0.27,0.45,NaN,NaN,NaN,0.57
67,âm,nguy_hiểm,N,0.06,0.33,0.55,0.55,"[0.09, 0.27]","[0.1, 0.22]",0.6
68,thăng_trầm,khô_kiệt,A,0.06,0.33,0.55,0.5,"[-0.01, 0.89]","[-0.01, 0.94]",0.7
69,thay_thế,biến_đổi,N,0.69,4.13,6.88,0.59,"[0.19, 0.02]","[0.15, 0.07]",1.02
70,ban_công,lan_can,N,0.39,2.33,3.88,0.78,"[0.55, 0.0]","[0.53, 0.0]",0.79
71,dưới,trên,N,0.07,0.4,0.67,0.61,"[0.23, 0.0]","[0.24, 0.0]",0.71
72,kháng_cự,phản_đối,V,0.67,4.0,6.67,0.53,"[0.04, 0.63]","[0.05, 0.52]",0.97
73,cầm,rờ_mó,V,0.62,3.73,6.22,NaN,NaN,NaN,1.12
74,vế,vai_vế,N,0.71,4.27,7.12,0.6,"[0.2, 0.02]","[0.15, 0.07]",0.85
75,vắng_lặng,ồn_ào,A,0.06,0.33,0.55,0.78,"[0.55, 0.0]","[0.57, 0.0]",0.7
76,xót_thương,đau_lòng,V,0.88,5.27,8.78,0.77,"[0.54, 0.0]","[0.48, 0.0]",0.77
77,găng_tay,quần_áo,N,0.52,3.13,5.22,0.72,"[0.44, 0.0]","[0.39, 0.0]",0.88
78,lộp_bộp,lộp_độp,A,0.85,5.13,8.55,NaN,NaN,NaN,0.81
79,sinh_vật_cảnh,đồng_dao,N,0.01,0.07,0.12,0.59,"[0.19, 0.02]","[0.14, 0.08]",0.25
80,lặn,mọc,V,0.06,0.33,0.55,0.59,"[0.2, 0.02]","[0.19, 0.02]",0.7
81,bồ_bịch,nhân_tình,N,0.88,5.27,8.78,0.72,"[0.42, 0.0]","[0.38, 0.0]",0.85
82,bằng_chứng,chứng_cứ,N,0.56,3.33,5.55,0.86,"[0.73, 0.0]","[0.73, 0.0]",0.7
83,hạ_màn,mở_màn,V,0.06,0.33,0.55,0.74,"[0.49, 0.0]","[0.43, 0.0]",0.7
84,ca_tụng,đoàn_kết,V,0.45,2.67,4.45,0.53,"[0.07, 0.42]","[0.06, 0.48]",0.7
85,ngày,đêm,N,0.06,0.33,0.55,0.75,"[0.5, 0.0]","[0.49, 0.0]",0.7
86,lan_can,rào,N,0.47,2.8,4.67,0.75,"[0.49, 0.0]","[0.5, 0.0]",0.75
87,trở_lại,đảo_ngược,V,0.5,3.0,5.0,0.63,"[0.26, 0.0]","[0.26, 0.0]",0.73
88,nhạc_nhẹ,tiểu_học,N,0.0,0.0,0.0,0.5,"[-0.03, 0.74]","[-0.02, 0.85]",0.0
89,tự_do,đức_tính,N,0.17,1.0,1.67,0.5,"[0.0, 0.96]","[-0.0, 1.0]",1.03
90,hợp_nhất,liên_kết,N,0.59,3.53,5.88,0.67,"[0.34, 0.0]","[0.25, 0.0]",1.09
91,hoàng_tộc,hoàng_gia,N,0.83,5.0,8.33,0.72,"[0.44, 0.0]","[0.41, 0.0]",0.82
92,đầu_mối,chỗ,N,0.51,3.07,5.12,0.58,"[0.16, 0.04]","[0.18, 0.03]",1.06
93,tinh_luyện,hoá_lỏng,V,0.49,2.93,4.88,0.67,"[0.36, 0.0]","[0.35, 0.0]",0.68
94,bí_hiểm,bí_mật,N,0.73,4.4,7.33,0.64,"[0.29, 0.0]","[0.24, 0.0]",1.02
95,chung_tình,phụ_bạc,V,0.06,0.33,0.55,0.7,"[0.39, 0.0]","[0.37, 0.0]",0.6
96,bàn_cãi,cân_nhắc,V,0.66,3.93,6.55,0.64,"[0.28, 0.0]","[0.26, 0.0]",1.12
97,nhảy_cao,ném_đĩa,N,0.53,3.2,5.33,0.74,"[0.46, 0.0]","[0.45, 0.0]",0.75
98,bánh_hỏi,bánh_giò,N,0.56,3.33,5.55,NaN,NaN,NaN,0.7
99,tiếng_chuông,âm_thanh,N,0.48,2.87,4.78,0.69,"[0.38, 0.0]","[0.34, 0.0]",0.72
100,tha_thẩn,thơ_thẩn,A,0.81,4.87,8.12,0.83,"[0.66, 0.0]","[0.62, 0.0]",0.88
101,phôi_bào,tế_bào,N,0.69,4.13,6.88,NaN,NaN,NaN,1.15
102,thuyền,bánh_lái,N,0.39,2.33,3.88,0.7,"[0.39, 0.0]","[0.36, 0.0]",0.87
103,nấp,hiện,V,0.03,0.2,0.33,0.52,"[0.03, 0.7]","[-0.01, 0.91]",0.4
104,cất,giấu,V,0.81,4.87,8.12,0.71,"[0.42, 0.0]","[0.41, 0.0]",1.15
105,âm,gốc,N,0.24,1.47,2.45,0.65,"[0.3, 0.0]","[0.31, 0.0]",1.02
106,đặt,thả_lỏng,V,0.34,2.07,3.45,0.56,"[0.12, 0.14]","[0.14, 0.1]",1.12
107,chỉnh_hình,tiểu_học,N,0.02,0.13,0.22,0.56,"[0.13, 0.1]","[0.06, 0.48]",0.34
108,tẩy,cạn,V,0.34,2.07,3.45,0.57,"[0.14, 0.09]","[0.1, 0.2]",1.0
109,cây_trồng,đĩa_bay,N,0.01,0.07,0.12,0.55,"[0.11, 0.2]","[0.1, 0.22]",0.25
110,chỉnh_hình,luồng,N,0.09,0.53,0.88,0.41,"[-0.18, 0.03]","[-0.15, 0.06]",1.02
111,màng_tế_bào,bảng_tổng_sắp,N,0.02,0.13,0.22,0.49,"[-0.02, 0.82]","[-0.0, 0.98]",0.34
112,ngót_nghét,xấp_xỉ,A,0.89,5.33,8.88,0.72,"[0.43, 0.0]","[0.42, 0.0]",0.6
113,biến_động,cố_định,V,0.05,0.27,0.45,0.62,"[0.24, 0.0]","[0.21, 0.01]",0.57
114,khuyết_điểm,ưu_điểm,N,0.05,0.27,0.45,0.7,"[0.39, 0.0]","[0.36, 0.0]",0.57
115,nhạo_báng,khiếm_nhã,N,0.74,4.47,7.45,0.74,"[0.48, 0.0]","[0.45, 0.0]",1.02
116,hại,lợi,N,0.02,0.13,0.22,0.62,"[0.24, 0.0]","[0.15, 0.07]",0.34
117,bướu_cổ,bệnh_tật,N,0.51,3.07,5.12,0.7,"[0.4, 0.0]","[0.39, 0.0]",1.06
118,cây_thuốc,cây_hoa_màu,N,0.55,3.27,5.45,0.68,"[0.37, 0.0]","[0.36, 0.0]",1.24
119,tinh_lọc,tinh_chế,V,0.82,4.93,8.22,0.76,"[0.52, 0.0]","[0.46, 0.0]",0.85
120,tăm_dạng,tung_tích,N,0.76,4.53,7.55,NaN,NaN,NaN,0.72
121,bức_bối,nguỵ_trang,V,0.1,0.6,1.0,0.48,"[-0.05, 0.54]","[-0.06, 0.49]",0.95
122,thân_thể,đầu,N,0.42,2.53,4.22,0.48,"[-0.05, 0.54]","[-0.04, 0.66]",0.88
123,thừa_thế,hằn_học,V,0.14,0.87,1.45,NaN,NaN,NaN,1.26
124,quỷ_quyệt,xảo_quyệt,A,0.81,4.87,8.12,0.82,"[0.65, 0.0]","[0.62, 0.0]",0.72
125,hoang_phí,hà_tiện,V,0.06,0.33,0.55,0.75,"[0.5, 0.0]","[0.49, 0.0]",0.6
126,cóp_nhặt,để_dành,V,0.73,4.4,7.33,0.58,"[0.15, 0.06]","[0.14, 0.08]",1.08
127,may,rủi,N,0.06,0.33,0.55,0.54,"[0.08, 0.36]","[0.09, 0.3]",0.7
128,tum,chân_vịt,N,0.08,0.47,0.78,0.59,"[0.17, 0.03]","[0.2, 0.01]",0.62
129,nhạo,vèo,V,0.13,0.8,1.33,0.58,"[0.15, 0.06]","[0.08, 0.36]",1.33
130,ngoại_lệ,thường_lệ,N,0.11,0.67,1.12,0.48,"[-0.04, 0.65]","[-0.06, 0.43]",0.87
131,phong_độ,phong_thái,N,0.71,4.27,7.12,0.69,"[0.37, 0.0]","[0.36, 0.0]",1.0
132,biết_ơn,vô_ơn,V,0.03,0.2,0.33,0.64,"[0.29, 0.0]","[0.28, 0.0]",0.54
133,buồn_bã,nối_tiếp,V,0.28,1.67,2.78,0.55,"[0.1, 0.23]","[0.1, 0.24]",0.7
134,quay,chuyển_hướng,N,0.73,4.4,7.33,0.65,"[0.3, 0.0]","[0.29, 0.0]",1.2
135,tập_dượt,tập_luyện,V,0.81,4.87,8.12,0.72,"[0.43, 0.0]","[0.45, 0.0]",0.96
136,oxy_hoá,đổi_thay,V,0.55,3.27,5.45,0.56,"[0.12, 0.13]","[0.09, 0.27]",1.12
137,trà,bụi,N,0.18,1.07,1.78,0.61,"[0.22, 0.01]","[0.22, 0.01]",1.24
138,phỏng,mảnh,A,0.14,0.87,1.45,0.54,"[0.09, 0.3]","[0.08, 0.33]",0.88
139,phòng_ngủ,công_trình_phụ,N,0.47,2.8,4.67,0.64,"[0.28, 0.0]","[0.35, 0.0]",0.54
140,hình_hoạ,cung_bậc,N,0.09,0.53,0.88,0.58,"[0.16, 0.05]","[0.16, 0.05]",0.96
141,hoạ,phúc,N,0.09,0.53,0.88,0.56,"[0.11, 0.18]","[0.09, 0.28]",0.88
142,nửa_mùa,đồng_điệu,A,0.18,1.07,1.78,0.49,"[-0.01, 0.87]","[0.0, 0.96]",1.18
143,thịnh_hành,hữu_tình,A,0.09,0.53,0.88,0.54,"[0.08, 0.35]","[0.05, 0.56]",0.96
144,biệt_ly,sum_họp,V,0.08,0.47,0.78,NaN,NaN,NaN,0.81
145,phụ_bản,nếp_tẻ,N,0.08,0.47,0.78,NaN,NaN,NaN,1.09
146,lời_lãi,thua_lỗ,N,0.07,0.4,0.67,0.63,"[0.27, 0.0]","[0.28, 0.0]",0.71
147,con_đường,vỉa_hè,N,0.42,2.53,4.22,0.66,"[0.31, 0.0]","[0.35, 0.0]",0.88
148,chính_nghĩa,phi_nghĩa,N,0.08,0.47,0.78,0.78,"[0.56, 0.0]","[0.55, 0.0]",0.88
149,trần_gian,cõi_âm,N,0.12,0.73,1.22,0.67,"[0.36, 0.0]","[0.37, 0.0]",0.77
150,vượng,suy,V,0.09,0.53,0.88,0.5,"[0.01, 0.91]","[0.02, 0.8]",1.02
151,lắng_nghe,lắng_tai,V,0.78,4.67,7.78,NaN,NaN,NaN,0.87
152,ấp_úng,nói,V,0.39,2.33,3.88,0.61,"[0.19, 0.02]","[0.17, 0.04]",0.87
153,thất_bại,thành_công,N,0.09,0.53,0.88,0.73,"[0.47, 0.0]","[0.41, 0.0]",1.26
154,đa_ngôn,mỏng_tang,A,0.05,0.27,0.45,NaN,NaN,NaN,0.57
155,ái_mộ,hâm_mộ,V,0.85,5.07,8.45,0.73,"[0.47, 0.0]","[0.43, 0.0]",0.68
156,tí_ti,tí_teo,N,0.85,5.13,8.55,NaN,NaN,NaN,1.02
157,nỗi_đau,tai_hoạ,N,0.53,3.2,5.33,0.75,"[0.5, 0.0]","[0.44, 0.0]",1.05
158,dương_gian,cõi_âm,N,0.11,0.67,1.12,NaN,NaN,NaN,1.07
159,phân_tử,nếp_tẻ,N,0.02,0.13,0.22,NaN,NaN,NaN,0.5
160,định_kỳ,bất_thường,N,0.12,0.73,1.22,0.57,"[0.14, 0.08]","[0.12, 0.13]",1.06
161,trước,sau,N,0.06,0.33,0.55,0.79,"[0.58, 0.0]","[0.56, 0.0]",0.47
162,đánh_bóng,làm_đẹp,V,0.7,4.2,7.0,0.69,"[0.38, 0.0]","[0.37, 0.0]",1.22
163,đoán,quan_sát,V,0.66,3.93,6.55,0.66,"[0.31, 0.0]","[0.28, 0.0]",0.68
164,đồ_dùng,đồ_vật,N,0.39,2.33,3.88,0.79,"[0.58, 0.0]","[0.58, 0.0]",0.94
165,giải_tán,tập_hợp,V,0.11,0.67,1.12,0.6,"[0.19, 0.02]","[0.21, 0.01]",1.07
166,nhóm,liên_kết,V,0.06,0.33,0.55,0.62,"[0.24, 0.0]","[0.16, 0.05]",0.79
167,đầu_tiên,cuối_cùng,N,0.08,0.47,0.78,0.76,"[0.5, 0.0]","[0.49, 0.0]",0.72
168,hảo_hữu,người_thân,N,0.4,2.4,4.0,NaN,NaN,NaN,1.14
169,quyển,bìa,N,0.33,2.0,3.33,0.6,"[0.21, 0.01]","[0.22, 0.01]",0.82
170,vượt_tuyến,hằn_học,V,0.07,0.4,0.67,0.49,"[-0.03, 0.71]","[-0.04, 0.6]",0.61
171,chiến_bại,thắng_lợi,V,0.18,1.07,1.78,0.64,"[0.28, 0.0]","[0.27, 0.0]",1.06
172,bành_tô,khăn,N,0.37,2.2,3.67,NaN,NaN,NaN,1.22
173,đỡ_đần,bình_luận,V,0.09,0.53,0.88,0.51,"[0.02, 0.81]","[0.06, 0.44]",0.88
174,hạ,tăng,V,0.11,0.67,1.12,0.68,"[0.36, 0.0]","[0.36, 0.0]",0.94
175,tợn,hiền,A,0.07,0.4,0.67,NaN,NaN,NaN,0.8
176,bội_bạc,chung_thuỷ,A,0.08,0.47,0.78,0.67,"[0.33, 0.0]","[0.35, 0.0]",0.62
177,nhà_máy,dây_chuyền,N,0.42,2.53,4.22,0.68,"[0.35, 0.0]","[0.37, 0.0]",0.72
178,tàu_hoả,xe_điện_ngầm,N,0.66,3.93,6.55,0.71,"[0.42, 0.0]","[0.42, 0.0]",1.12
179,thuở,thủa,N,0.98,5.87,9.78,0.93,"[0.86, 0.0]","[0.83, 0.0]",0.34
180,tranh,trông_nom,V,0.32,1.93,3.22,0.48,"[-0.03, 0.72]","[-0.03, 0.73]",0.77
181,cây_thân_gỗ,cành,N,0.42,2.53,4.22,NaN,NaN,NaN,0.88
182,xuôi,ngược,N,0.06,0.33,0.55,0.66,"[0.33, 0.0]","[0.3, 0.0]",0.6
183,biên_nhận,móc,V,0.07,0.4,0.67,0.5,"[0.0, 0.96]","[0.01, 0.86]",0.88
184,thi_hành,bắt,V,0.57,3.4,5.67,0.53,"[0.06, 0.49]","[0.06, 0.48]",1.14
185,cự_tuyệt,bãi_bỏ,V,0.61,3.67,6.12,0.7,"[0.39, 0.0]","[0.37, 0.0]",1.14
186,thi_đấu,phá_vây,V,0.13,0.8,1.33,NaN,NaN,NaN,0.83
187,hiện_trạng,tình_cảnh,N,0.73,4.4,7.33,0.6,"[0.2, 0.02]","[0.17, 0.04]",1.31
188,vượt_tuyến,dứt_điểm,V,0.17,1.0,1.67,0.63,"[0.26, 0.0]","[0.24, 0.0]",0.89
189,cá_hồng,cá_chai,N,0.57,3.4,5.67,NaN,NaN,NaN,1.08
190,bằng,văn_bằng,N,0.77,4.6,7.67,0.53,"[0.06, 0.49]","[0.06, 0.5]",0.49
191,tĩnh_dưỡng,lộn_xộn,V,0.29,1.73,2.88,0.49,"[-0.01, 0.86]","[-0.04, 0.62]",0.85
192,bạc_đãi,trọng_đãi,V,0.11,0.67,1.12,NaN,NaN,NaN,0.79
193,phân_li,đoàn_tụ,V,0.09,0.53,0.88,NaN,NaN,NaN,0.88
194,nhốt,thả,V,0.09,0.53,0.88,0.7,"[0.39, 0.0]","[0.38, 0.0]",1.09
195,nội_tiết,huyệt,N,0.18,1.07,1.78,0.59,"[0.19, 0.02]","[0.19, 0.02]",0.77
196,phụ_bản,truyện_tranh,N,0.32,1.93,3.22,0.67,"[0.35, 0.0]","[0.38, 0.0]",1.29
197,phong_thư,địa_chỉ,N,0.49,2.93,4.88,0.62,"[0.25, 0.0]","[0.2, 0.02]",0.68
198,thời_bình,thời_chiến,N,0.12,0.73,1.22,0.8,"[0.6, 0.0]","[0.58, 0.0]",0.77
199,áo_quan,quan_tài,N,0.66,3.93,6.55,0.84,"[0.68, 0.0]","[0.67, 0.0]",0.85
200,trẩy_hội,ví,V,0.05,0.27,0.45,0.53,"[0.05, 0.54]","[0.04, 0.62]",0.57
201,nhức_nhối,nhấp_nhỏm,A,0.32,1.93,3.22,NaN,NaN,NaN,1.24
202,cũ_kỹ,mới_mẻ,A,0.06,0.33,0.55,0.66,"[0.33, 0.0]","[0.33, 0.0]",0.6
203,nhạo,hạ_bút,V,0.13,0.8,1.33,NaN,NaN,NaN,0.83
204,sân_vận_động,khán_đài,N,0.39,2.33,3.88,0.79,"[0.57, 0.0]","[0.53, 0.0]",0.7
205,chủ_nghĩa_hình_thức,truyện_tranh,N,0.26,1.53,2.55,NaN,NaN,NaN,1.26
206,được,mất,V,0.07,0.4,0.67,0.5,"[0.0, 0.98]","[-0.03, 0.71]",0.49
207,hiểu,tiên_lượng,V,0.41,2.47,4.12,0.63,"[0.26, 0.0]","[0.31, 0.0]",1.31
208,quét_dọn,loại_bỏ,V,0.62,3.73,6.22,0.52,"[0.05, 0.56]","[0.04, 0.65]",0.85
209,bay_hơi,bay,V,0.58,3.47,5.78,0.57,"[0.14, 0.08]","[0.17, 0.03]",0.72
210,dễ_dàng,khó_khăn,A,0.11,0.67,1.12,0.71,"[0.44, 0.0]","[0.41, 0.0]",1.25
211,gạ,gạ_gẫm,V,0.89,5.33,8.88,0.84,"[0.68, 0.0]","[0.64, 0.0]",0.6
212,vắng_tanh,lịch_bịch,A,0.08,0.47,0.78,NaN,NaN,NaN,0.72
213,nhậm_chức,nhiệm_chức,V,0.78,4.67,7.78,0.66,"[0.32, 0.0]","[0.32, 0.0]",1.07
214,hồ_sơ,bằng_cớ,N,0.68,4.07,6.78,NaN,NaN,NaN,0.57
215,hổ_thẹn,bắt_buộc,V,0.1,0.6,1.0,0.64,"[0.29, 0.0]","[0.33, 0.0]",0.88
216,dấu_hiệu,đặc_trưng,N,0.53,3.2,5.33,0.56,"[0.13, 0.12]","[0.12, 0.16]",0.75
217,người_dân,tộc_người,N,0.65,3.87,6.45,0.67,"[0.34, 0.0]","[0.34, 0.0]",1.09
218,bè_cánh,vây_cánh,N,0.78,4.67,7.78,NaN,NaN,NaN,0.94
219,bật_lửa,giảm_xóc,N,0.43,2.6,4.33,0.59,"[0.18, 0.03]","[0.17, 0.04]",1.14
220,sinh_vật_cảnh,không_trung,N,0.1,0.6,1.0,0.54,"[0.07, 0.37]","[0.1, 0.22]",0.8
221,chần_chờ,dứt_khoát,V,0.07,0.4,0.67,0.46,"[-0.08, 0.33]","[-0.06, 0.44]",0.8
222,tư_thế,phong_thái,N,0.83,5.0,8.33,0.67,"[0.34, 0.0]","[0.35, 0.0]",0.63
223,máy_vi_tính,phím,N,0.47,2.8,4.67,0.62,"[0.23, 0.0]","[0.22, 0.01]",0.65
224,sụp_đổ,kìm_nén,V,0.37,2.2,3.67,0.61,"[0.22, 0.01]","[0.16, 0.05]",1.05
225,mắc_kẹt,cầm_giữ,V,0.89,5.33,8.88,0.74,"[0.48, 0.0]","[0.49, 0.0]",0.87
226,hình_hoạ,khí_quyển,N,0.05,0.27,0.45,0.55,"[0.1, 0.24]","[0.05, 0.53]",0.57
227,thuộc_địa,kiều_dân,N,0.66,3.93,6.55,0.66,"[0.32, 0.0]","[0.32, 0.0]",1.24
228,nhà_hát,sân_khấu,N,0.43,2.6,4.33,0.72,"[0.44, 0.0]","[0.41, 0.0]",1.02
229,thìa,muỗng,N,0.78,4.67,7.78,0.92,"[0.84, 0.0]","[0.84, 0.0]",0.87
230,tỏ,biểu_lộ,V,0.8,4.8,8.0,0.75,"[0.5, 0.0]","[0.49, 0.0]",1.11
231,chiến_tranh,trận_chiến,N,0.46,2.73,4.55,0.71,"[0.41, 0.0]","[0.39, 0.0]",0.68
232,cộc,va,V,0.83,5.0,8.33,0.52,"[0.05, 0.52]","[0.05, 0.52]",0.89
233,tính_sổ,giám_đốc_thẩm,V,0.21,1.27,2.12,0.52,"[0.03, 0.71]","[0.03, 0.67]",1.12
234,hơn,thua,A,0.13,0.8,1.33,0.54,"[0.07, 0.38]","[0.06, 0.45]",1.22
235,cựu_binh,tân_binh,N,0.11,0.67,1.12,0.73,"[0.46, 0.0]","[0.39, 0.0]",0.79
236,tính_sổ,nuôi_dưỡng,V,0.1,0.6,1.0,0.54,"[0.08, 0.36]","[0.04, 0.65]",0.95
237,ngữ_cảnh,văn_cảnh,N,0.79,4.73,7.88,NaN,NaN,NaN,0.93
238,hâm_nóng,cải_biến,V,0.53,3.2,5.33,0.7,"[0.39, 0.0]","[0.4, 0.0]",1.22
